Username,Follower count:,Post ID,Media Type:,Caption,Likes,Comments,Timestamp,Tags
newbalance,7074908,3.11266E+18,2,Together in sport. 2023. #WeGotNow,26534,333,2023-05-28 12:58:40+00:00,5
newbalance,7074908,3.08876E+18,2,IU. Seoul. 2023. #WeGotNow,53742,1100,2023-04-25 13:14:48+00:00,1
newbalance,7074908,3.05245E+18,2,"Same game, just played his way. Shohei Ohtani. 2023. #WeGotNow

同じゲームを、彼しか出来ないやり方でプレーする。大谷翔平。",357969,1678,2023-03-06 11:03:46+00:00,2
newbalance,7074908,3.15546E+18,8,"Introducing the debut collaborative project from actress and producer @stormreid. 

Inspired by early 2000s Atlanta, the Storm Reid x New Balance CT302 is available August 4th on newbalance.com",28796,173,2023-07-26 14:05:00+00:00,2
newbalance,7074908,3.14892E+18,8,Ready to take on the world.,5289,68,2023-07-17 13:32:36+00:00,6
newbalance,7074908,3.13661E+18,8,"NBA champion @jmglitxh27 on the Belleville RP court in Paris.

A community hub for basketball, renovated in partnership with the @nba.

🎨: @kekli",29193,157,2023-06-30 13:54:25+00:00,2
newbalance,7074908,3.12604E+18,1,"Champion Murray. 🏆
 
#WeGotNow",95526,328,2023-06-15 23:52:27+00:00,2
newbalance,7074908,3.12396E+18,1,"🏆 @jmglitxh27 

#WeGotNow",130644,241,2023-06-13 03:03:58+00:00,2
newbalance,7074908,3.12139E+18,2,"Conversations Amongst Us presents “Shared Spaces: An Open and Honest Community Gathering.”

Full conversation between @joefreshgoods (Creative Director) and @iamtrayvonbromell available on YouTube.",4422,43,2023-06-09 13:53:29+00:00,3
newbalance,7074908,3.11988E+18,8,"Introducing the MADE in USA Spring/Summer Collection. 

Available globally June 16th.",12912,117,2023-06-07 12:01:25+00:00,1
newbalance,7074908,3.09602E+18,2,"“The 990. It’s about creating something phenomenal.”

This year we celebrate our brand heritage and Grey Day through a limited edition MADE in USA pack. 

Available in select markets May 12th.",13601,232,2023-05-05 13:52:16+00:00,0
newbalance,7074908,3.07933E+18,8,"Welcome, @chaseyoung. The first for Klutch Athletics by New Balance.",11392,139,2023-04-12 13:01:05+00:00,3
newbalance,7074908,3.0638E+18,1,"Shohei Ohtani. Miami. 3/21/23. #WeGotNow

大谷翔平。2023年3月21日、マイアミにて。",42674,168,2023-03-22 02:47:06+00:00,2
newbalance,7074908,3.05906E+18,8,"The only right way to run, is your way. #RunYourWay",12756,241,2023-03-15 13:48:28+00:00,1
newbalance,7074908,3.0388E+18,8,"Introducing Klutch Athletics by New Balance.

A new athlete-first sportswear brand co-authored with @richpaul that celebrates the intersection of sport, culture, and community.

Launching in North America on April 27th.",10912,260,2023-02-15 14:57:17+00:00,1
newbalance,7074908,3.0301E+18,2,"Envision greatness.

Introducing the KAWHI III... Forged from the countless practice court hours turning instinct into genius. Built for the final seconds when everything is on the line.

KAWHI III ‘Alpha Predator’ available globally on February 10th.",51486,381,2023-02-03 15:00:03+00:00,1
newbalance,7074908,3.0279E+18,1,"He's unlike anything you've ever seen. And now he wears New Balance.

Welcome to the @newbalance family, @shoheiohtani. #WeGotNow

彼は今まで見たこともないような存在。その彼がいまニューバランスを着る。
ようこそ@newbalance ファミリーへ @shoheiohtani.",301624,1001,2023-01-31 14:02:08+00:00,1
newbalance,7074908,3.01785E+18,2,"Explore the power of running with @stormreid.

Watch Storm Reid’s inspiring running journey in our latest series of #BeyondTheRun at our link in bio.",9894,103,2023-01-17 17:25:49+00:00,0
newbalance,7074908,3.01342E+18,1,"Big things ahead...

Welcome to the @newbalancehoops family, @tyresemaxey.",181492,867,2023-01-11 14:25:11+00:00,1
newbalance,7074908,3.00182E+18,2,“It’s important that I set a good example for the younger generation” - @bukayosaka87 on inspiring on and off the pitch.,14402,144,2022-12-26 14:25:51+00:00,1
newbalance,7074908,2.9868E+18,1,"What do you do when you break your own world record? You do it again…and again.

Congratulations @sydneymclaughlin16 #WeGotNow",57501,452,2022-12-05 21:13:17+00:00,2
