Follower count:,Post ID,Media Type:,Caption,Likes,Comments,Timestamp,Tags:
303164617,3166571942094250269,1,"The legacy continues.

The Kobe Protro 8 ‘Halo’ marks the continuation of a storied legacy, pairing a triple white colorway with the iconic Kobe 8 silhouette, embodying the timelessness of an icon never forgotten.

Arriving globally August 23 in SNKRS. Download the App to get notified when it drops. ⬇️",91535,443,2023-08-10 22:00:13+00:00,"[{'username': 'nikebasketball', 'followers': 15518122}]"
303164617,3165906060975713802,2,"The next generation of Aussie athletes are defining victory on their own terms - playing free and celebrating fearlessly. Because they know that victory isn’t only found in the final. It’s found in the little moments that feel monumental. ️ 

Show the world your victory. #JustDoIt",32650,158,2023-08-09 23:59:16+00:00,"[{'username': 'nike', 'followers': 303164617}, {'username': 'sierrakerr', 'followers': 124804}, {'username': 'bangarrayouthprogram', 'followers': 1970}, {'username': 'ivyboothroydrunning_', 'followers': 1997}, {'username': 'matildas', 'followers': 304551}, {'username': 'indiana.dossantos', 'followers': 3200}, {'username': 'chlo_the_flo', 'followers': 100804}]"
303164617,3165634300661295905,2,"Mamba Forever. 🐍

The newest shoe in the iconic Kobe line is almost here. Tune into SNKRS ‘Live From the Archive’ (North America only) on August 10 for the unveiling and exclusive details on the upcoming release.",152362,740,2023-08-09 15:00:05+00:00,"[{'username': 'nikebasketball', 'followers': 15518122}]"
303164617,3164941214129328634,8,The Nike Air Alpha Force Low X @billieeilish. Versatile for every version of you. Shop now on SNKRS.,248102,841,2023-08-08 16:00:15+00:00,[]
303164617,3162767599354569312,2,"Movement is a celebration of your body — and why we move is personal to everyone. But no matter how, when or where you choose to do it, know that you can count on the new Nike Leggings range for the ultimate support. 

Whether it’s the Zenvy, Go or Universa, discover a fit for every mood and a feel for every you. Tap the 🔗 in bio and find your perfect pair 🏃🧘💃",51490,587,2023-08-05 16:02:29+00:00,"[{'username': 'idiley', 'followers': 479}, {'username': 'nike', 'followers': 303164617}, {'username': 'annnece_ciofani', 'followers': 16118}, {'username': 'dinaashersmith', 'followers': 380761}, {'username': 'poppydenelingham', 'followers': 3433}, {'username': 'intysar', 'followers': 4733}, {'username': 'sophie.yukiko', 'followers': 8405}, {'username': 'gaiaofficial', 'followers': 790624}, {'username': 'aurelielouisalex', 'followers': 8858}, {'username': 'arual.namor', 'followers': 2034}, {'username': 'itstrinanicole', 'followers': 12803}, {'username': 'abrowngirlruns', 'followers': 3620}, {'username': 'hoooney_c2', 'followers': 375}, {'username': 'edwige_ahonto', 'followers': 4106}, {'username': 'nuria_ms_99', 'followers': 8867}, {'username': 'samm_yv', 'followers': 8372}, {'username': 'farrahnawaz1', 'followers': 47}]"
303164617,3162704800625185606,2,"It’s time to go a little rogue 😈
A new gen of #NikeTech premieres for the first time on 🤐🤐🤐",60696,324,2023-08-05 14:00:05+00:00,[]
303164617,3161988908389279855,2,"Welcome to @ambush_official Academy, a school where football players rule. Something’s “off” about the new girl. Will the others discover her secret? Will they put aside their differences and claim victory? Will we stop asking questions we know the answer to? Nite Sport, coming soon to a theater in your mind. 

Shop now on SNKRS. 🔗 in Nike’s bio.",65539,554,2023-08-04 14:16:14+00:00,"[{'username': 'yoon_ambush', 'followers': 710345}]"
303164617,3161653064099492374,1,"3 WNBA Titles, 2 Finals MVPs, 5 gold medals, 10 All-Star selections, 4-time Female Athlete of The Year, and now we add a new accolade to the list – 10,000 career points.

The legend @dianataurasi is the embodiment of dedication, passion and love for the game.

Congratulations to the 🐐",54763,380,2023-08-04 03:07:17+00:00,"[{'username': 'nikebasketball', 'followers': 15518122}, {'username': 'dianataurasi', 'followers': 308561}]"
303164617,3161455815563279661,8,"ReactX foam ✅
Stretchy Flyknit ✅
Wider midsole ✅

Support is all around you with the new InfinityRN 4. It feels like a hug from a friend, a smile from another runner or a high-five at the end of a run.

Now available in North America. Coming soon to the rest of the world. 🌎",167965,1131,2023-08-03 20:35:23+00:00,"[{'username': 'nikerunning', 'followers': 5727526}]"
303164617,3160261204005794456,2,"The @selecaofemininadefutebol are coming. Bringing their luggage, contagious joy and a united team committed to bring the Joga Bonito. #JogaForever #NikeFC

A @selecaofeminadefutebol está chegando, trazendo na mala aquela alegria contagiante. Um time unido e preparado pra jogar bonito. #JogaPraSempre #NikeFC",52200,397,2023-08-02 05:04:57+00:00,"[{'username': 'selecaofemininadefutebol', 'followers': 2721456}, {'username': 'nike', 'followers': 303164617}, {'username': 'aryborges', 'followers': 453428}, {'username': 'tainarasilva_99', 'followers': 19035}, {'username': 'debinhaa7', 'followers': 531732}, {'username': 'rafaellesouza4', 'followers': 156466}]"
303164617,3159203052081415025,2,"@naomi_girma is locked in on the world’s biggest stage ⚽

Get Naomi’s inside 🤫 about her journey to the pitch and favorite pieces to wear when she’s there. Catch her on the field as the @uswnt continues their quest for star number 5 ⭐

#NikeFC",38265,298,2023-07-31 18:00:36+00:00,"[{'username': 'naomi_girma', 'followers': 84776}]"
303164617,3158715370647794358,2,"“Everyone’s waiting out there for you. You know what to do.”

@samanthakerr20 is a scoring supernova. Her talent flips the game—and it can happen anywhere, at any time.

This tournament, Sam is tackling one of the biggest challenges of her career—and in sport: bringing home 🏆 to her beloved 🇦🇺 and the @matildas.

The moment is bright and Sam knows exactly what her team needs to hear today. #NikeFC",44265,308,2023-07-31 01:55:48+00:00,"[{'username': 'samanthakerr20', 'followers': 1370567}, {'username': 'nikefootball', 'followers': 45672129}, {'username': 'matildas', 'followers': 304551}]"
303164617,3158597672943694298,2,"Canada’s premier defender @keishaballa isn’t just here to break up plays—she’s here to make her own 😤 . 

Her defensive mindset with a hunger for the back of net is something most opposing defenses never see coming. If you sleep on her, she’ll put the game to bed FAST💤 ✌ . #NikeFC",39340,149,2023-07-30 21:59:08+00:00,"[{'username': 'keishaballa', 'followers': 85190}, {'username': 'nikefootball', 'followers': 45672129}]"
303164617,3157662514430337487,2,"From great goals 🥳 to bad calls 🤬 to teammate shout-outs 🤩, the language of football takes many forms ⚽️ 🗯️

Hear what @samanthakerr20 @asisat_oshoala @ahegerberg @debinhaa7 @sophsssmith and @cdunn19 had to say 😁",48309,317,2023-07-29 15:00:28+00:00,"[{'username': 'samanthakerr20', 'followers': 1370567}, {'username': 'nikefootball', 'followers': 45672129}, {'username': 'debinhaa7', 'followers': 531732}, {'username': 'cdunn19', 'followers': 342049}, {'username': 'ahegerberg', 'followers': 836691}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'asisat_oshoala', 'followers': 1040076}]"
303164617,3157620597680095688,1,"Joga 🤝 Debinha
The spirit of @selecaofemininadefutebol scores her first *ever* goal at the 🌏⚽🏆 with the Phantom Luna at her feet.

Reminding us why we love this beautiful game.

#NikeFC @debinhaa7 #JogaPraSempre 

O coração da @selecaofemininadefutebol marcou seu *primeiríssimo* gol na 🌏⚽🏆 com nossa Phantom Luna.

E é por isso que a gente ama esse esporte incrível.",45233,232,2023-07-29 13:35:29+00:00,"[{'username': 'selecaofemininadefutebol', 'followers': 2721456}, {'username': 'nike', 'followers': 303164617}, {'username': 'debinhaa7', 'followers': 531732}]"
303164617,3157283791822727341,2,Her opposition needs to stay on their toes cause @grace_geyoro is trained to play in extreme heat 🥵 and ready to attack at a moment’s notice. 😈 👟 #NikeFC,38174,151,2023-07-29 02:30:17+00:00,"[{'username': 'nikefootball', 'followers': 45672129}, {'username': 'grace_geyoro', 'followers': 165533}]"
303164617,3157210232325724101,2,"Portuguese football star Jessica Silva (@jessiicasilva10) is a force to be reckoned with on the pitch. Off the pitch, she looks to the women in her life and loved ones to cheer her on, so she can keep going. 

Follow Jéssica’s story in the latest “What Are You Working On?” out now.",49268,177,2023-07-29 00:00:51+00:00,"[{'username': 'jessiicasilva10', 'followers': 672747}]"
303164617,3156982903913465409,2,"“self expression through style is so important to me. these shoes are so versatile and I hope you have fun styling them ” -@billieeilish

Reimagined for you by @billieeilish.
The Nike Air Alpha Force Low X Billie Eilish. Available 8.8 on SNKRS. 🔗 in Nike’s bio.",99172,461,2023-07-28 16:30:18+00:00,"[{'username': 'billieeilish', 'followers': 109921457}, {'username': 'nikewomen', 'followers': 7179273}]"
303164617,3156918617999599140,1,"Iconic scenes from the agile @wang_shuang7 

The left-footer shows relentless resilience as she buries the ball to secure the win for China.

Wang has spoken—as she leaves it all on the pitch.

Play with heart ❤️‍🔥. #NikeFC",46044,204,2023-07-28 14:20:47+00:00,"[{'username': 'wang_shuang7', 'followers': 66616}, {'username': 'nikefootball', 'followers': 45672129}]"
